horizon,anchor_mode,level,method,coverage,coverage_error,pinball_loss,average_upper_bound,objective,fallback_rate,selected
5,historical_peak,0.99,regime_stratified,0.9812108559498957,-0.008789144050104336,0.0008945776587506096,0.25295165862057495,0.012213238295060696,0.162839248434238,False
5,historical_peak,0.99,current_drawdown_regime,0.964509394572025,-0.02549060542797499,0.001226392705522993,0.25252671030230617,0.029242265236521042,0.16910229645093947,False
5,historical_peak,0.99,volatility_regime,0.9832985386221295,-0.006701461377870532,0.0009957460785627707,0.2568274019261528,0.01026548147569483,0.162839248434238,True
10,origin_peak,0.8,global,0.7672955974842768,-0.03270440251572326,0.010876830864969564,0.0456263342122666,0.0440374967228155,0.0,False
10,origin_peak,0.8,current_drawdown_stratified,0.8092243186582809,0.009224318658280883,0.011405674422717081,0.049668592861993814,0.021126679009617903,0.0,False
10,origin_peak,0.8,volatility_stratified,0.7777777777777778,-0.022222222222222254,0.010915718487301506,0.04648986279362341,0.03360283933746,0.0,False
10,origin_peak,0.8,regime_stratified,0.8155136268343816,0.015513626834381511,0.01068373835161614,0.050762094393656226,0.026704986129934213,0.16352201257861634,False
10,origin_peak,0.8,current_drawdown_regime,0.8029350104821803,0.002935010482180256,0.011508311324311387,0.04890226404230466,0.01493234444691469,0.16981132075471697,True
10,origin_peak,0.8,volatility_regime,0.8553459119496856,0.05534591194968552,0.010983977955380834,0.05468874583340013,0.06687677736340036,0.16352201257861634,False
10,origin_peak,0.9,global,0.8364779874213837,-0.06352201257861634,0.008449175912446363,0.058591451800502604,0.07255710300906772,0.0,False
10,origin_peak,0.9,current_drawdown_stratified,0.8574423480083857,-0.04255765199161432,0.0092109823496539,0.0666083531873759,0.05243471787314198,0.0,False
10,origin_peak,0.9,volatility_stratified,0.8427672955974843,-0.05723270440251571,0.00831144678978615,0.062364507150613396,0.066167796263808,0.0,False
10,origin_peak,0.9,regime_stratified,0.8511530398322851,-0.04884696016771495,0.00790069290530633,0.06605833083311621,0.057408236381352444,0.16352201257861634,False
10,origin_peak,0.9,current_drawdown_regime,0.8532494758909853,-0.0467505241090147,0.00931873991581322,0.06575306790390593,0.05672679470386698,0.16981132075471697,False
10,origin_peak,0.9,volatility_regime,0.8930817610062893,-0.00691823899371069,0.008523534432944386,0.0752923096551945,0.01619469652320702,0.16352201257861634,True
10,origin_peak,0.95,global,0.8930817610062893,-0.056918238993710624,0.0055773387960553426,0.07684853148164701,0.06326406310458244,0.0,False
10,origin_peak,0.95,current_drawdown_stratified,0.8909853249475891,-0.05901467505241087,0.00690865179508976,0.08424810482312142,0.06676580789573185,0.0,False
10,origin_peak,0.95,volatility_stratified,0.8805031446540881,-0.06949685534591188,0.0055427716026146415,0.07806505420331805,0.0758202774905597,0.0,False
10,origin_peak,0.95,regime_stratified,0.939203354297694,-0.010796645702305985,0.005139977575408593,0.08833087860793538,0.01681993206379393,0.16352201257861634,True
10,origin_peak,0.95,current_drawdown_regime,0.89937106918239,-0.050628930817609996,0.0064400253460505045,0.08667395556375687,0.05793569571929807,0.16981132075471697,False
10,origin_peak,0.95,volatility_regime,0.9371069182389937,-0.012893081761006231,0.005526299482742463,0.09001582546022845,0.01931953949835098,0.16352201257861634,False
10,origin_peak,0.99,global,0.9685534591194969,-0.02144654088050313,0.0018606748113728557,0.11647205184569535,0.024471936210332938,0.0,False
10,origin_peak,0.99,current_drawdown_stratified,0.9517819706498952,-0.038218029350104765,0.002467906874315424,0.10824313024079464,0.04176836752682814,0.0,False
10,origin_peak,0.99,volatility_stratified,0.9706498951781971,-0.019350104821802883,0.0019477973460881128,0.11573681338483473,0.022455270301739345,0.0,True
10,origin_peak,0.99,regime_stratified,0.9685534591194969,-0.02144654088050313,0.0018319780475262466,0.1177428630304675,0.024455947558334048,0.16352201257861634,False
10,origin_peak,0.99,current_drawdown_regime,0.9517819706498952,-0.038218029350104765,0.0023539389277484344,0.11228620529637671,0.041694830330816966,0.16981132075471697,False
10,origin_peak,0.99,volatility_regime,0.9706498951781971,-0.019350104821802883,0.0019412698677390178,0.1190381867728925,0.022481756557270825,0.16352201257861634,False
10,historical_peak,0.8,global,0.7693920335429769,-0.030607966457023128,0.008997225975198917,0.22168483626039942,0.04182204079482604,0.0,False
10,historical_peak,0.8,current_drawdown_stratified,0.8134171907756813,0.013417190775681265,0.009567983620075824,0.2266280175547178,0.025251454571304267,0.0,False
10,historical_peak,0.8,volatility_stratified,0.7610062893081762,-0.03899371069182389,0.009057584373199713,0.22273619402524789,0.05027865700527608,0.0,False
10,historical_peak,0.8,regime_stratified,0.8218029350104822,0.02180293501048214,0.00889873542835959,0.22611737878435506,0.03296284422668528,0.16352201257861634,False
