horizon,anchor_mode,level,stratum_type,stratum,observations,conditional_coverage,coverage_error
20,origin_peak,0.95,regime,3,1033,0.9428848015488868,-0.007115198451113192
20,origin_peak,0.95,regime,4,49,1.0,0.050000000000000044
20,origin_peak,0.95,volatility_bin,0,257,0.914396887159533,-0.03560311284046691
20,origin_peak,0.95,volatility_bin,1,321,0.9470404984423676,-0.0029595015576323602
20,origin_peak,0.95,volatility_bin,2,604,0.9602649006622517,0.01026490066225172
20,origin_peak,0.95,current_drawdown_bin,0,775,0.9264516129032258,-0.023548387096774204
20,origin_peak,0.95,current_drawdown_bin,1,382,0.9842931937172775,0.03429319371727757
20,origin_peak,0.95,current_drawdown_bin,2,25,1.0,0.050000000000000044
20,origin_peak,0.99,regime,0,100,1.0,0.010000000000000009
20,origin_peak,0.99,regime,3,1033,0.9912875121006777,0.001287512100677679
20,origin_peak,0.99,regime,4,49,1.0,0.010000000000000009
20,origin_peak,0.99,volatility_bin,0,257,0.9649805447470817,-0.025019455252918266
20,origin_peak,0.99,volatility_bin,1,321,1.0,0.010000000000000009
20,origin_peak,0.99,volatility_bin,2,604,1.0,0.010000000000000009
20,origin_peak,0.99,current_drawdown_bin,0,775,0.9883870967741936,-0.001612903225806428
20,origin_peak,0.99,current_drawdown_bin,1,382,1.0,0.010000000000000009
20,origin_peak,0.99,current_drawdown_bin,2,25,1.0,0.010000000000000009
40,historical_peak,0.8,regime,0,100,0.98,0.17999999999999994
40,historical_peak,0.8,regime,3,1013,0.7798617966436328,-0.02013820335636729
40,historical_peak,0.8,regime,4,49,1.0,0.19999999999999996
40,historical_peak,0.8,volatility_bin,0,257,0.7315175097276264,-0.06848249027237363
40,historical_peak,0.8,volatility_bin,1,311,0.7781350482315113,-0.021864951768488794
40,historical_peak,0.8,volatility_bin,2,594,0.8535353535353535,0.053535353535353436
40,historical_peak,0.8,current_drawdown_bin,0,755,0.7589403973509934,-0.041059602649006655
40,historical_peak,0.8,current_drawdown_bin,1,382,0.887434554973822,0.08743455497382191
40,historical_peak,0.8,current_drawdown_bin,2,25,1.0,0.19999999999999996
40,historical_peak,0.9,regime,0,100,0.77,-0.13
40,historical_peak,0.9,regime,3,1013,0.8805528134254689,-0.01944718657453115
40,historical_peak,0.9,regime,4,49,1.0,0.09999999999999998
40,historical_peak,0.9,volatility_bin,0,257,0.8132295719844358,-0.08677042801556423
40,historical_peak,0.9,volatility_bin,1,311,0.8778135048231511,-0.022186495176848897
40,historical_peak,0.9,volatility_bin,2,594,0.9023569023569024,0.002356902356902335
